event_base_id,event_name,currency,impact,max_mover_score,best_pair,best_horizon_label,best_horizon_minutes,best_corr,best_slope_pct_per_1sd_surprise,best_n_events,avg_mover_score,median_abs_corr,stats_rows,rank,filtered_rank
73,Employment Change,AUD,high,0.22141139571352256,EUR/USD,12h,720,0.4742721199951526,0.11322645583741017,17,0.02470599917553831,0.13609367184648047,36,108,39
207,Empire State Manufacturing Index,USD,medium,0.2131424914469754,USD/CAD,6h,360,0.48833242713692293,0.10585954262340812,17,0.03883078394058271,0.2336922323418635,36,112,40
53,Prelim UoM Consumer Sentiment,USD,high,0.21150983711823274,GBP/USD,2h,120,0.48865260361382895,0.13050706147744212,11,0.053880429936200604,0.2881506924481376,32,113,41
657,Trimmed CPI y/y,CAD,high,0.20871429895442498,USD/JPY,12h,720,-0.42064954907520646,-0.12033925404703388,17,0.05025579521585838,0.22628209893391688,36,114,42
11,Unemployment Claims,USD,high,0.206196585708504,USD/JPY,5m,5,-0.5163180750267556,-0.05113275859181326,61,0.02361235164395277,0.10440890781642953,36,116,43
349,Durable Goods Orders m/m,USD,medium,0.20212863888367974,USD/JPY,12h,720,0.3803035010182098,0.14204747237268675,14,0.03185234372104114,0.1658819824598505,36,117,44
208,CB Consumer Confidence,USD,medium,0.198078302878138,USD/CAD,6h,360,0.46160589812307873,0.10727673957565206,16,0.06076995103497576,0.30632415106997457,36,119,45
80,CPI m/m,CAD,high,0.19671186104306046,EUR/USD,4h,240,0.3875102507922551,0.12311837963666195,17,0.054136245826347254,0.24348290681927634,36,120,46
313,German ZEW Economic Sentiment,EUR,medium,0.1962686780626636,USD/CAD,4h,240,-0.6909117809265211,-0.0856509248428454,11,0.025951625959734367,0.19776899793233094,36,121,47
86,PPI m/m,USD,high,0.19274657726388514,USD/JPY,12h,720,0.37894288465614534,0.14107213588010103,13,0.029092090937905053,0.19612926759742166,36,127,48
186,Richmond Manufacturing Index,USD,medium,0.19228665237140824,USD/CAD,12h,720,0.45878592220911774,0.10478016165225895,16,0.03284676747217725,0.21602000307847707,36,128,49
325,Philly Fed Manufacturing Index,USD,medium,0.19165265255370745,GBP/USD,4h,240,0.36572417966063325,0.1270974096383707,17,0.03441947312316922,0.17229801936621225,36,129,50
