pair,horizon_label,horizon_minutes,forecast_k,scenario_actual_k,delta_k,predicted_return_pct,slope_pct_per_1k_delta,intercept_pct,n_events
EUR/USD,12h,720,65.0,215.0,150.0,-0.2246732246072396,-0.0006139525471250473,-0.1325803425384825,59
GBP/USD,1m,1,65.0,-85.0,-150.0,-0.0396507500525044,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,-35.0,-100.0,-0.06599910034346626,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,-10.0,-75.0,-0.0791732754889472,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,15.0,-50.0,-0.09234745063442813,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,40.0,-25.0,-0.10552162577990908,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,65.0,0.0,-0.11869580092539,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,90.0,25.0,-0.13186997607087095,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,115.0,50.0,-0.14504415121635186,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,140.0,75.0,-0.1582183263618328,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,165.0,100.0,-0.17139250150731375,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,1m,1,65.0,215.0,150.0,-0.1977408517982756,-0.0005269670058192374,-0.11869580092539,59
GBP/USD,5m,5,65.0,-85.0,-150.0,-0.05193410696144349,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,-35.0,-100.0,-0.07861660272313728,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,-10.0,-75.0,-0.09195785060398416,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,15.0,-50.0,-0.10529909848483106,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,40.0,-25.0,-0.11864034636567794,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,65.0,0.0,-0.13198159424652484,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,90.0,25.0,-0.14532284212737173,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,115.0,50.0,-0.15866409000821863,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,140.0,75.0,-0.17200533788906552,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,165.0,100.0,-0.1853465857699124,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,5m,5,65.0,215.0,150.0,-0.21202908153160618,-0.0005336499152338756,-0.13198159424652484,59
GBP/USD,15m,15,65.0,-85.0,-150.0,-0.06003819913032239,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,-35.0,-100.0,-0.09244054662059836,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,-10.0,-75.0,-0.10864172036573636,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,15.0,-50.0,-0.12484289411087433,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,40.0,-25.0,-0.1410440678560123,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,65.0,0.0,-0.1572452416011503,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,90.0,25.0,-0.1734464153462883,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,115.0,50.0,-0.18964758909142626,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,140.0,75.0,-0.20584876283656425,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,165.0,100.0,-0.22204993658170225,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,15m,15,65.0,215.0,150.0,-0.25445228407197823,-0.0006480469498055194,-0.1572452416011503,59
GBP/USD,30m,30,65.0,-85.0,-150.0,-0.04112463297447355,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,-35.0,-100.0,-0.07886881432301412,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,-10.0,-75.0,-0.0977409049972844,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,15.0,-50.0,-0.11661299567155468,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,40.0,-25.0,-0.13548508634582496,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,65.0,0.0,-0.15435717702009524,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,90.0,25.0,-0.17322926769436553,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,115.0,50.0,-0.1921013583686358,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,140.0,75.0,-0.2109734490429061,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,165.0,100.0,-0.22984553971717636,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,30m,30,65.0,215.0,150.0,-0.26758972106571693,-0.0007548836269708112,-0.15435717702009524,59
GBP/USD,1h,60,65.0,-85.0,-150.0,-0.026979958385960442,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,-35.0,-100.0,-0.058953539898274634,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,-10.0,-75.0,-0.07494033065443173,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,15.0,-50.0,-0.09092712141058884,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,40.0,-25.0,-0.10691391216674594,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,65.0,0.0,-0.12290070292290303,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,90.0,25.0,-0.13888749367906014,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,115.0,50.0,-0.15487428443521722,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,140.0,75.0,-0.17086107519137433,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,165.0,100.0,-0.18684786594753144,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,1h,60,65.0,215.0,150.0,-0.2188214474598456,-0.0006394716302462839,-0.12290070292290303,59
GBP/USD,2h,120,65.0,-85.0,-150.0,-0.041223051635029095,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,-35.0,-100.0,-0.06324709117567198,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,-10.0,-75.0,-0.07425911094599344,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,15.0,-50.0,-0.08527113071631488,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,40.0,-25.0,-0.09628315048663634,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,65.0,0.0,-0.10729517025695778,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,90.0,25.0,-0.11830719002727923,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,115.0,50.0,-0.12931920979760067,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,140.0,75.0,-0.14033122956792213,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,165.0,100.0,-0.15134324933824359,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,2h,120,65.0,215.0,150.0,-0.17336728887888647,-0.00044048079081285794,-0.10729517025695778,59
GBP/USD,4h,240,65.0,-85.0,-150.0,-0.05432030591288611,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,-35.0,-100.0,-0.08243208547013521,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,-10.0,-75.0,-0.09648797524875975,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,15.0,-50.0,-0.11054386502738431,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,40.0,-25.0,-0.12459975480600885,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,65.0,0.0,-0.1386556445846334,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,90.0,25.0,-0.15271153436325793,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,115.0,50.0,-0.16676742414188248,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,140.0,75.0,-0.18082331392050704,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,165.0,100.0,-0.1948792036991316,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,4h,240,65.0,215.0,150.0,-0.22299098325638067,-0.0005622355911449818,-0.1386556445846334,59
GBP/USD,6h,360,65.0,-85.0,-150.0,-0.034997267701469714,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,-35.0,-100.0,-0.0681598436218324,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,-10.0,-75.0,-0.08474113158201375,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,15.0,-50.0,-0.10132241954219509,-0.0006632515184072539,-0.1344849954625578,59
GBP/USD,6h,360,65.0,40.0,-25.0,-0.11790370750237644,-0.0006632515184072539,-0.1344849954625578,59
