event_base_id,event_name,currency,impact,history_events,surprise_mean,surprise_std,surprise_median,surprise_abs_mean
86,PPI m/m,USD,high,58,-0.01724137931034484,0.31183550040100444,0.0,0.24482758620689654
87,Core PPI m/m,USD,high,58,-0.012068965517241386,0.28597484014402785,0.0,0.22241379310344825
88,German PPI m/m,EUR,low,59,0.14237288135593218,1.4936882597057977,0.0,0.8779661016949153
89,PPI m/m,EUR,low,59,0.06271186440677966,0.6967655087381649,0.0,0.37796610169491535
90,IPPI m/m,CAD,low,59,0.03728813559322032,0.9961820746687283,0.10000000000000003,0.7152542372881356
91,RMPI m/m,CAD,low,59,-0.23728813559322035,2.826225599573466,0.1,1.8745762711864407
92,PPI Input m/m,GBP,low,51,-0.060784313725490216,0.7105148644110267,-0.1,0.4843137254901961
93,PPI Output m/m,GBP,low,51,-0.009803921568627477,0.3961085214739942,0.0,0.27647058823529413
94,PPI Input q/q,NZD,low,19,0.1736842105263158,1.362531184256043,0.0,1.0578947368421052
95,PPI Output q/q,NZD,low,19,0.2526315789473685,0.8808887059559236,0.4,0.7052631578947369
96,PPI m/m,CHF,low,59,-0.16779661016949157,0.3510774931481759,-0.2,0.3101694915254238
97,PPI q/q,AUD,low,20,0.009999999999999992,0.5056522624554505,0.04999999999999999,0.37
98,CPI m/m,AUD,high,23,0.05652173913043477,0.18297065576087665,0.09999999999999987,0.16086956521739132
99,Trimmed Mean CPI m/m,AUD,high,23,0.034782608695652174,0.164063999851981,0.0,0.1391304347826087
100,CPI m/m,CHF,high,60,-0.013333333333333334,0.1578098691535478,0.0,0.11666666666666665
102,Retail Sales m/m,USD,high,59,0.03898305084745761,0.5623279657700508,0.09999999999999998,0.411864406779661
103,Core Retail Sales m/m,CAD,medium,59,-0.005084745762711861,0.7573601450076806,0.09999999999999987,0.5610169491525424
104,Retail Sales m/m,CAD,medium,59,0.08813559322033897,0.4343384766883653,0.0,0.3118644067796611
105,Retail Sales m/m,GBP,medium,59,-0.13898305084745766,1.1441028632849142,0.09999999999999998,0.8915254237288136
106,Retail Sales m/m,EUR,low,60,-0.27499999999999997,0.572424223391554,-0.10000000000000009,0.365
107,German Retail Sales m/m,EUR,low,55,-0.9509090909090907,1.5729039818205484,-0.8999999999999999,1.383636363636364
108,Italian Retail Sales m/m,EUR,low,60,-0.10833333333333335,0.8201470861606796,-0.1,0.625
109,Retail Sales y/y,CHF,low,59,-0.7542372881355932,3.9992810575410065,-0.2999999999999998,2.2864406779661017
110,Retail Sales m/m,AUD,medium,50,0.092,1.0600038505898486,0.0,0.648
112,Core Retail Sales m/m,USD,high,59,0.0559322033898305,0.6737110775503301,0.0,0.4423728813559323
114,BRC Retail Sales Monitor y/y,GBP,low,59,-0.3389830508474576,2.624290836828018,-0.20000000000000018,1.6677966101694917
115,Retail Sales y/y,JPY,low,59,-0.08135593220338985,1.0823783799276905,0.10000000000000009,0.8372881355932204
116,BRC Shop Price Index y/y,GBP,low,13,0.02307692307692308,0.3745082245510908,0.0,0.2692307692307692
117,Trade Balance,USD,low,60,428333333.3333336,5266944943.660226,-149999999.99999237,2578333333.333333
118,Trade Balance,CAD,low,60,-10000000.0,2018364835.7443929,50000000.0,1450000000.0
119,Goods Trade Balance,GBP,low,59,-662711864.4067796,2915706474.1041183,-500000000.0,2035593220.338983
120,Trade Balance,EUR,low,59,-903389830.5084746,7561403037.607252,-200000000.0,5808474576.271187
121,Trade Balance,NZD,low,59,-107627118.6440678,918964876.7875413,-8000000.0,737525423.7288135
122,Goods Trade Balance,AUD,low,59,69830508.47457623,2443824371.1413097,-30000000.0,1837288135.5932202
123,Trade Balance,JPY,low,59,-3728813559.322034,289332753816.9965,20000000000.0,231864406779.661
124,Trade Balance,CHF,low,55,127636363.63636357,1312461588.342844,100000000.0,1022545454.5454545
125,German Trade Balance,EUR,low,60,101666666.6666666,3346614361.3532495,200000000.0,2718333333.3333335
126,French Trade Balance,EUR,low,60,-298333333.3333333,1584617974.2429357,-500000000.0,1301666666.6666667
127,Italian Trade Balance,EUR,low,59,-402372881.3559322,3196238812.7637486,-70000000.00000095,2372881355.9322033
145,Leading Indicators,JPY,low,59,0.23728813559321962,1.614150604549388,0.0,0.5084745762711876
146,Capacity Utilization Rate,CAD,low,20,-0.07000000000000028,0.9728417407942445,0.19999999999999574,0.7999999999999972
148,PPI y/y,JPY,low,59,0.13050847457627118,0.33334989243887914,0.1,0.26271186440677974
151,Halifax HPI m/m,GBP,low,60,-0.08499999999999998,0.7338833325282105,0.0,0.5483333333333335
153,Business Inventories m/m,USD,low,59,-0.016949152542372878,0.091260412486469,0.0,0.06440677966101695
154,Final Wholesale Inventories m/m,USD,low,60,0.004999999999999999,0.20701674377544882,0.0,0.12499999999999999
155,Prelim Nonfarm Productivity q/q,USD,low,20,0.04499999999999998,1.1413173367463998,0.050000000000000044,0.825
156,Revised Nonfarm Productivity q/q,USD,low,19,0.01578947368421062,0.3516045093484326,0.1,0.2578947368421053
157,Labor Productivity q/q,CAD,low,20,-0.24499999999999997,0.40971748931749497,-0.15000000000000002,0.355
158,Overseas Trade Index q/q,NZD,low,19,-0.19473684210526315,2.842040285157151,0.0,2.2052631578947364
159,Average Hourly Earnings m/m,USD,high,59,0.02372881355932204,0.14183402520971045,0.0,0.10508474576271183
